contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250430C00585000,2025-04-14 19:03:19+00:00,585.0,0.2,0.21,0.23,-0.3,-60.000004,639.0,3503,0.194343994140625,False,REGULAR,USD
SPY250430C00586000,2025-04-14 18:51:19+00:00,586.0,0.21,0.19,0.21,-0.28000003,-57.142864,185.0,5450,0.1948322705078125,False,REGULAR,USD
SPY250430C00587000,2025-04-14 18:45:46+00:00,587.0,0.2,0.17,0.19,-0.2,-50.0,72.0,1069,0.19507640869140624,False,REGULAR,USD
SPY250430C00588000,2025-04-14 18:46:00+00:00,588.0,0.18,0.15,0.17,-0.16,-47.058823,357.0,1678,0.19507640869140624,False,REGULAR,USD
SPY250430C00589000,2025-04-14 17:38:55+00:00,589.0,0.18,0.14,0.16,-0.120000005,-40.0,36.0,963,0.19654123779296873,False,REGULAR,USD
SPY250430C00590000,2025-04-14 19:16:49+00:00,590.0,0.13,0.13,0.14,-0.20000002,-58.82353,722.0,11607,0.1958088232421875,False,REGULAR,USD
SPY250430C00591000,2025-04-14 18:05:49+00:00,591.0,0.14,0.11,0.13,-0.14999999,-51.724136,13.0,2089,0.19678537597656248,False,REGULAR,USD
SPY250430C00592000,2025-04-14 18:57:06+00:00,592.0,0.13,0.1,0.12,-0.16,-55.172417,15.0,1288,0.1977619287109375,False,REGULAR,USD
SPY250430C00593000,2025-04-14 18:57:07+00:00,593.0,0.12,0.1,0.11,-0.13,-52.0,20.0,2222,0.198250205078125,False,REGULAR,USD
SPY250430C00594000,2025-04-14 19:25:08+00:00,594.0,0.11,0.08,0.11,-0.120000005,-52.173912,55.0,1482,0.20117986328124998,False,REGULAR,USD
SPY250430C00595000,2025-04-14 19:24:03+00:00,595.0,0.09,0.08,0.1,-0.11,-55.0,21.0,5819,0.2016681396484375,False,REGULAR,USD
SPY250430C00596000,2025-04-14 15:41:32+00:00,596.0,0.08,0.08,0.09,-0.120000005,-60.0,20.0,1191,0.20215641601562498,False,REGULAR,USD
SPY250430C00597000,2025-04-14 15:41:32+00:00,597.0,0.11,0.08,0.09,-0.09,-45.0,82.0,1030,0.20508607421874997,False,REGULAR,USD
SPY250430C00598000,2025-04-14 15:49:15+00:00,598.0,0.07,0.06,0.08,-0.1,-58.82353,123.0,1104,0.20459779785156246,False,REGULAR,USD
SPY250430C00599000,2025-04-14 18:18:48+00:00,599.0,0.1,0.06,0.08,-0.080000006,-44.444447,271.0,2978,0.20752745605468748,False,REGULAR,USD
SPY250430C00600000,2025-04-14 19:26:10+00:00,600.0,0.08,0.07,0.08,-0.07000001,-46.66667,3988.0,19746,0.2104571142578125,False,REGULAR,USD
SPY250430C00601000,2025-04-14 16:48:53+00:00,601.0,0.08,0.05,0.07,-0.14,-63.636364,11.0,3014,0.20996883789062498,False,REGULAR,USD
SPY250430C00602000,2025-04-14 18:57:37+00:00,602.0,0.07,0.05,0.07,-0.080000006,-50.000008,42.0,1833,0.21289849609375,False,REGULAR,USD
SPY250430C00603000,2025-04-14 18:57:41+00:00,603.0,0.07,0.05,0.07,-0.089999996,-56.25,4.0,1081,0.2153398779296875,False,REGULAR,USD
